f_max,x_max,Vs_max,electrical Power
50000.0,0.01,50000.0,-1208.35421535
50000.0,0.01,112500.0,58.7882801
50000.0,0.01,175000.0,-1278.73871746
50000.0,0.01,237500.0,-1026.21870684
50000.0,0.01,300000.0,-1078.49929314
50000.0,0.02,50000.0,-1789.61801809
50000.0,0.02,112500.0,-2057.08523317
50000.0,0.02,175000.0,-910.22908937
50000.0,0.02,237500.0,-1978.87514959
50000.0,0.02,300000.0,-1819.47593552
50000.0,0.03,50000.0,-2444.21050529
50000.0,0.03,112500.0,-3102.88874207
50000.0,0.03,175000.0,-2509.5783198
50000.0,0.03,237500.0,-2654.2625957
50000.0,0.03,300000.0,-2847.39219748
50000.0,0.04,50000.0,
50000.0,0.04,112500.0,-2891.11313981
50000.0,0.04,175000.0,-3125.15695027
50000.0,0.04,237500.0,-3717.77706715
50000.0,0.04,300000.0,-3564.51276783
50000.0,0.05,50000.0,-4387.18244123
50000.0,0.05,112500.0,-4460.26937427
50000.0,0.05,175000.0,-3809.9994977
50000.0,0.05,237500.0,-4530.71206281
50000.0,0.05,300000.0,-4410.68098321
87500.0,0.01,50000.0,-1555.387265
87500.0,0.01,112500.0,-2239.23932134
87500.0,0.01,175000.0,-1435.77384224
87500.0,0.01,237500.0,-2133.82832111
87500.0,0.01,300000.0,-2100.9481893
87500.0,0.02,50000.0,-3819.68286463
87500.0,0.02,112500.0,-3151.23426808
87500.0,0.02,175000.0,-3678.12525322
87500.0,0.02,237500.0,-3539.80556685
87500.0,0.02,300000.0,-4092.88512329
87500.0,0.03,50000.0,
87500.0,0.03,112500.0,-4281.14729692
87500.0,0.03,175000.0,-5181.06925333
87500.0,0.03,237500.0,169.57474031
87500.0,0.03,300000.0,-5164.92968639
87500.0,0.04,50000.0,-6948.0445617
87500.0,0.04,112500.0,-6419.56464904
87500.0,0.04,175000.0,-7357.36609273
87500.0,0.04,237500.0,-7126.29417568
87500.0,0.04,300000.0,-5525.4323736
87500.0,0.05,50000.0,-7868.92336687
87500.0,0.05,112500.0,-7254.60089788
87500.0,0.05,175000.0,-6654.62888341
87500.0,0.05,237500.0,-8906.87567393
87500.0,0.05,300000.0,-8182.39635125
125000.0,0.01,50000.0,-3120.77029123
125000.0,0.01,112500.0,-3157.35011109
125000.0,0.01,175000.0,-3080.84053188
125000.0,0.01,237500.0,-2871.85534077
125000.0,0.01,300000.0,-2772.64731099
125000.0,0.02,50000.0,-5493.2632055
125000.0,0.02,112500.0,-5741.54296943
125000.0,0.02,175000.0,-649.27901014
125000.0,0.02,237500.0,-5268.98104815
125000.0,0.02,300000.0,-5654.52021742
125000.0,0.03,50000.0,-3028.67952953
125000.0,0.03,112500.0,-7718.74028772
125000.0,0.03,175000.0,-7481.32178279
125000.0,0.03,237500.0,-7513.15124136
125000.0,0.03,300000.0,-7717.6954105
125000.0,0.04,50000.0,-9950.13838674
125000.0,0.04,112500.0,-9208.43261314
125000.0,0.04,175000.0,-9266.90396099
125000.0,0.04,237500.0,-8673.59651834
125000.0,0.04,300000.0,-10374.00183139
125000.0,0.05,50000.0,-9767.62157761
125000.0,0.05,112500.0,-11894.50729455
125000.0,0.05,175000.0,-5937.66622739
125000.0,0.05,237500.0,-12308.91239569
125000.0,0.05,300000.0,-11215.64588533
162500.0,0.01,50000.0,-3877.04215091
162500.0,0.01,112500.0,-3967.17255206
162500.0,0.01,175000.0,
162500.0,0.01,237500.0,-3922.22293538
162500.0,0.01,300000.0,-3735.88200729
162500.0,0.02,50000.0,-6698.86532441
162500.0,0.02,112500.0,
162500.0,0.02,175000.0,-6607.05662294
162500.0,0.02,237500.0,-7165.7937466
162500.0,0.02,300000.0,-6675.64499398
162500.0,0.03,50000.0,-7903.5906825
162500.0,0.03,112500.0,-9071.06389866
162500.0,0.03,175000.0,-10180.54040794
162500.0,0.03,237500.0,-9574.72565336
162500.0,0.03,300000.0,-10304.38232005
162500.0,0.04,50000.0,-5583.22479639
162500.0,0.04,112500.0,-13083.41870722
162500.0,0.04,175000.0,-12821.92234118
162500.0,0.04,237500.0,-13951.69232989
162500.0,0.04,300000.0,-11856.18341935
162500.0,0.05,50000.0,-10054.89300836
162500.0,0.05,112500.0,-15314.81595279
162500.0,0.05,175000.0,-11056.79878015
162500.0,0.05,237500.0,-16155.96074239
162500.0,0.05,300000.0,-14277.63953446
200000.0,0.01,50000.0,-4897.49154725
200000.0,0.01,112500.0,-4813.6620188
200000.0,0.01,175000.0,
200000.0,0.01,237500.0,-1392.19314933
200000.0,0.01,300000.0,-2521.92750847
200000.0,0.02,50000.0,-8455.63095112
200000.0,0.02,112500.0,-7987.85157299
200000.0,0.02,175000.0,-8413.10232126
200000.0,0.02,237500.0,-6449.66920425
200000.0,0.02,300000.0,
200000.0,0.03,50000.0,-10190.71956835
200000.0,0.03,112500.0,-12051.14891202
200000.0,0.03,175000.0,-13199.90541105
200000.0,0.03,237500.0,-9181.05987251
200000.0,0.03,300000.0,-11242.27334465
200000.0,0.04,50000.0,
200000.0,0.04,112500.0,-12175.77152117
200000.0,0.04,175000.0,-16130.18548486
200000.0,0.04,237500.0,-12443.75700661
200000.0,0.04,300000.0,-16993.99343881
200000.0,0.05,50000.0,-19409.935229
200000.0,0.05,112500.0,-20314.11126095
200000.0,0.05,175000.0,-15880.60352543
200000.0,0.05,237500.0,-17966.09314864
200000.0,0.05,300000.0,-19882.53732561
