f_max,Vs_max,electrical Power
100000.0,30000.0,-4845.26901889
100000.0,97500.0,-4845.23818469
100000.0,165000.0,-4845.3075761
100000.0,232500.0,-4845.3190542
100000.0,300000.0,-4845.34860175
325000.0,30000.0,-9506.38512007
325000.0,97500.0,-12910.99953203
325000.0,165000.0,-13009.4137938
325000.0,232500.0,-13009.42059374
325000.0,300000.0,-13009.41327666
550000.0,30000.0,-9508.88969502
550000.0,97500.0,-14586.73871301
550000.0,165000.0,-16318.89467182
550000.0,232500.0,-17088.88168793
550000.0,300000.0,-17385.01445225
775000.0,30000.0,-9508.85779602
775000.0,97500.0,-14587.67407454
775000.0,165000.0,-16778.84505337
775000.0,232500.0,-17780.8502431
775000.0,300000.0,-18123.0063911
1000000.0,30000.0,-9508.85551627
1000000.0,97500.0,-14587.67407454
1000000.0,165000.0,-16778.82741797
1000000.0,232500.0,-17818.56275672
1000000.0,300000.0,-18183.74007877
